ICD10 Code,Description,Type of Surgery,Body Part,Index
09B70,"Excision of Right Tympanic Membrane, Open Approach, Diagnostic
Excision of Right Tympanic Membrane, Open Approach",Tympanoplasty,ENT,6
0WJG0,"Inspection of Peritoneal Cavity, Open Approach",Peritoneal Inspection,Gastrointestinal,4
0DHS0,,General Surgery,General,13
10D00,"Extraction of Products of Conception, High, Open Approach
Extraction of Products of Conception, Low, Open Approach
Extraction of Products of Conception, Extraperitoneal, Open Approach",Extraction of Conception Products,Gynecological,7
0JQC0,"Repair Pelvic Region Subcutaneous Tissue and Fascia, Open Approach",Pelvic Repair,Gastrointestinal,4
0WTF0,,General Surgery,General,13
0QB90,"Excision of Left Femoral Shaft, Open Approach, Diagnostic
Excision of Left Femoral Shaft, Open Approach",General Surgery,General,13
0X6L0,"Detachment at Right Thumb, Complete, Open Approach
Detachment at Right Thumb, High, Open Approach
Detachment at Right Thumb, Mid, Open Approach
Detachment at Right Thumb, Low, Open Approach",General Surgery,General,13
0NQR0,"Repair Maxilla, Open Approach",General Surgery,General,13
0GTK0,"Resection of Thyroid Gland, Open Approach",Thyroid Surgery,Endocrine,11
09B00,"Excision of Right External Ear, Open Approach, Diagnostic
Excision of Right External Ear, Open Approach",Ear Surgery,ENT,6
09QM0,"Repair Nasal Septum, Open Approach",General Surgery,General,13
09Q70,"Repair Right Tympanic Membrane, Open Approach",General Surgery,General,13
08DJ3,"Extraction of Right Lens, Percutaneous Approach",General Surgery,General,13
02RG0,"Replacement of Mitral Valve with Autologous Tissue Substitute, Open Approach
Replacement of Mitral Valve with Zooplastic Tissue, Open Approach
Replacement of Mitral Valve with Synthetic Substitute, Open Approach
Replacement of Mitral Valve with Nonautologous Tissue Substitute, Open Approach",General Surgery,General,13
0VTS0,"Resection of Penis, Open Approach",General Surgery,General,13
02100,"Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach
Bypass Coronary Artery, One Artery from Right Internal Mammary with Zooplastic Tissue, Open Approach
Bypass Coronary Artery, One Artery from Left Internal Mammary with Zooplastic Tissue, Open Approach
Bypass Coronary Artery, One Artery from Thoracic Artery with Zooplastic Tissue, Open Approach
Bypass Coronary Artery, One Artery from Abdominal Artery with Zooplastic Tissue, Open Approach",Valve Replacement,Cardiac,1
0HD0X,"Extraction of Scalp Skin, External Approach",General Surgery,General,13
009T0,"Drainage of Spinal Meninges, Open Approach
Drainage of Spinal Meninges with Drainage Device, Open Approach
Drainage of Spinal Meninges, Open Approach, Diagnostic",General Surgery,General,13
0RB30,"Excision of Cervical Vertebral Disc, Open Approach, Diagnostic
Excision of Cervical Vertebral Disc, Open Approach",Spine Surgery,Neurological,2
0TBB7,"Excision of Bladder, Via Natural or Artificial Opening, Diagnostic
Excision of Bladder, Via Natural or Artificial Opening",Urinary Surgery,Renal,3
0FY00,"Transplantation of Liver, Allogeneic, Open Approach
Transplantation of Liver, Syngeneic, Open Approach
Transplantation of Liver, Zooplastic, Open Approach",Liver Surgery,Hepatic,8
03BY0,"Excision of Upper Artery, Open Approach, Diagnostic
Excision of Upper Artery, Open Approach",General Surgery,General,13
0DTP0,"Resection of Rectum, Open Approach",General Surgery,General,13
0FB00,"Excision of Liver, Open Approach, Diagnostic
Excision of Liver, Open Approach",Liver Surgery,Hepatic,8
0DB60,"Excision of Stomach, Open Approach, Vertical
Excision of Stomach, Open Approach, Diagnostic
Excision of Stomach, Open Approach",General Surgery,General,13
0TT00,"Resection of Right Kidney, Open Approach",Kidney Transplant,Renal,3
0TB14,"Excision of Left Kidney, Percutaneous Endoscopic Approach, Diagnostic
Excision of Left Kidney, Percutaneous Endoscopic Approach",Kidney Transplant,Renal,3
0TT10,"Resection of Left Kidney, Open Approach",Kidney Transplant,Renal,3
0BTC4,"Resection of Right Upper Lung Lobe, Percutaneous Endoscopic Approach",Lung Surgery,Pulmonary,9
0UB94,"Excision of Uterus, Percutaneous Endoscopic Approach, Diagnostic
Excision of Uterus, Percutaneous Endoscopic Approach",General Surgery,General,13
0WQN0,"Repair Female Perineum, Open Approach",General Surgery,General,13
0UT90,"Resection of Uterus, Supracervical, Open Approach
Resection of Uterus, Open Approach",General Surgery,General,13
0SBD0,"Excision of Left Knee Joint, Open Approach, Diagnostic
Excision of Left Knee Joint, Open Approach",Hip Replacement,Orthopedic,5
0LQ00,"Repair Head and Neck Tendon, Open Approach",General Surgery,General,13
0RHP0,"Insertion of Infusion Device into Left Wrist Joint, Open Approach
Insertion of Internal Fixation Device into Left Wrist Joint, Open Approach
Insertion of External Fixation Device into Left Wrist Joint, Open Approach
Insertion of Spacer into Left Wrist Joint, Open Approach",Orthopedic Surgery,Orthopedic,5
0SQC4,"Repair Right Knee Joint, Percutaneous Endoscopic Approach",Hip Replacement,Orthopedic,5
0PB00,"Excision of Sternum, Open Approach, Diagnostic
Excision of Sternum, Open Approach",General Surgery,General,13
03VG3,"Restriction of Intracranial Artery with Bioactive Intraluminal Device, Percutaneous Approach
Restriction of Intracranial Artery with Extraluminal Device, Percutaneous Approach
Restriction of Intracranial Artery with Intraluminal Device, Percutaneous Approach
Restriction of Intracranial Artery with Intraluminal Device, Flow Diverter, Percutaneous Approach
Restriction of Intracranial Artery, Percutaneous Approach",General Surgery,General,13
09QB0,"Repair Right Mastoid Sinus, Open Approach",Tympanoplasty,ENT,6
0H10X,,General Surgery,General,13
00160,"Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Open Approach
Bypass Cerebral Ventricle to Mastoid Sinus with Autologous Tissue Substitute, Open Approach
Bypass Cerebral Ventricle to Atrium with Autologous Tissue Substitute, Open Approach
Bypass Cerebral Ventricle to Blood Vessel with Autologous Tissue Substitute, Open Approach
Bypass Cerebral Ventricle to Pleural Cavity with Autologous Tissue Substitute, Open Approach",Valve Replacement,Cardiac,1
0NQ00,"Repair Skull, Open Approach",General Surgery,General,13
0HQ0X,"Repair Scalp Skin, External Approach",General Surgery,General,13
09B04,"Excision of Right External Ear, Percutaneous Endoscopic Approach, Diagnostic
Excision of Right External Ear, Percutaneous Endoscopic Approach",Ear Surgery,ENT,6
0TBB4,"Excision of Bladder, Percutaneous Endoscopic Approach, Diagnostic
Excision of Bladder, Percutaneous Endoscopic Approach",Urinary Surgery,Renal,3
0VB08,"Excision of Prostate, Via Natural or Artificial Opening Endoscopic, Diagnostic
Excision of Prostate, Via Natural or Artificial Opening Endoscopic",General Surgery,General,13
0FT10,"Resection of Right Lobe Liver, Open Approach",Liver Surgery,Hepatic,8
0PQS0,"Repair Left Thumb Phalanx, Open Approach",General Surgery,General,13
